Program ID,Broad Field,Field,Institution Name,Program Name,Non-Asian Minority Faculty as a Percent of Total Core and New Domestic Faculty (2006),Female Faculty as a Percent of Total Core and New Faculty (2006),Non-Asian Minority Students as a Percent of Total Domestic Students (Fall 2005),Female Students as a Percent of Total Students (Fall 2005),International Students as a Percent of Total Students (Fall 2005)
20064521,Humanities,Philosophy,New York University,Philosophy,0%,8.3%,8.3%,32.4%,27%
20029252,Humanities,Philosophy,Ohio State University Main Campus,Philosophy,0%,17.4%,0%,19.4%,19.4%
20031677,Humanities,Philosophy,Penn State University,Philosophy,0%,45.5%,3%,35.9%,15.4%
20032621,Humanities,Philosophy,Princeton University,Philosophy,11.1%,19%,0%,25.6%,25.6%
20055996,Humanities,Philosophy,Purdue University Main Campus,Philosophy,10.5%,15%,13.5%,14.5%,8.1%
20041191,Humanities,Philosophy,Rice University,Philosophy,0%,0%,4.8%,30.4%,8.7%
20012735,Humanities,Philosophy,Rutgers The State University of New Jersey New Brunswick Campus,Philosophy,3.8%,14.8%,11.6%,29.2%,26.2%
20040558,Humanities,Philosophy,Southern Illinois University Carbondale,Philosophy,0%,7.1%,4.1%,14.3%,0%
20052818,Humanities,Philosophy,Stanford University,Philosophy,5%,26.9%,14.3%,33.3%,30.8%
20033691,Humanities,Philosophy,State University of New York At Albany,Philosophy,0%,33.3%,8.7%,30%,10%
20037532,Humanities,Philosophy,State University of New York At Binghamton,Philosophy,0%,27.3%,18.2%,46.2%,38.5%
20037545,Humanities,Philosophy,State University of New York At Binghamton,"Philosophy, Interpretation & Culture",36.4%,41.7%,18.2%,47.6%,23.8%
20038683,Humanities,Philosophy,State University of New York At Buffalo,Philosophy,5.6%,5%,8.7%,30.9%,16.4%
20038337,Humanities,Philosophy,State University of New York At Stony Brook,Philosophy,16.7%,21.1%,18%,34.8%,18.2%
20022631,Humanities,Philosophy,Syracuse University Main Campus,Philosophy,10.5%,13.6%,6.5%,78.9%,13.2%
20042336,Humanities,Philosophy,Temple University,Philosophy,15.4%,33.3%,12.1%,25.6%,4.9%
20013721,Humanities,Philosophy,University of Arkansas Main Campus,Philosophy,0%,14.3%,0%,0%,0%
20034218,Humanities,Philosophy,University of Arizona,Philosophy,5.6%,25%,5.9%,22.2%,20%
20061155,Humanities,Philosophy,University of California-Berkeley,Philosophy,0%,17.6%,5.1%,22.2%,14.8%
20067366,Humanities,Philosophy,University of California-Davis,Philosophy,0%,6.3%,0%,21.7%,4.3%
20025926,Humanities,Philosophy,Tulane University,Philosophy,0%,18.2%,5.6%,25%,16.7%
20049300,Humanities,Philosophy,University of California-Irvine,Philosophy,0%,17.4%,5%,23.4%,4.3%
20053545,Humanities,Philosophy,University of California-Los Angeles,Philosophy,0%,16.7%,8.1%,37.8%,11.1%
20048893,Humanities,Philosophy,University of California-Riverside,Philosophy,0%,15.8%,7.1%,18.4%,7.9%
20065724,Humanities,Philosophy,University of California-San Diego,Philosophy,5.9%,21.1%,13.3%,27.8%,13.9%
20070379,Humanities,Philosophy,University of California-Santa Barbara,Philosophy,0%,8.3%,0%,13.3%,13.3%
20014539,Humanities,Philosophy,University of Chicago,Philosophy,0%,15%,5.2%,27.5%,20%
20032236,Humanities,Philosophy,University of Cincinnati Main Campus,Philosophy,9.1%,9.1%,4.8%,13%,8.7%
20064084,Humanities,Philosophy,University of Colorado At Boulder,Philosophy,0%,21.1%,7.1%,28.6%,2.9%
20024257,Humanities,Philosophy,University of Connecticut,Philosophy PhD,0%,22.2%,17.6%,17.9%,17.9%
20044334,Humanities,Philosophy,University of Dallas,Philosophy,3.7%,0%,7.8%,15.8%,5.3%
20013394,Humanities,Philosophy,University of Florida,Philosophy,12.5%,7.7%,13.6%,22.6%,25.8%
20019880,Humanities,Philosophy,University of Georgia,Philosophy,7.7%,23.1%,12.5%,16.7%,5.6%
20014872,Humanities,Philosophy,University of Hawaii At Manoa,Philosophy,0%,25%,4%,24.3%,27%
20043018,Humanities,Philosophy,University of Illinois At Chicago,Philosophy,16.7%,33.3%,3.8%,28.9%,31.6%
20039242,Humanities,Philosophy,University of Illinois At Urbana-Champaign,Philosophy,0%,10.5%,2.6%,20%,5%
20020617,Humanities,Philosophy,University of Iowa,Philosophy,0%,18.2%,5.6%,24%,0%
20051314,Humanities,Philosophy,University of Kansas,Philosophy,0%,25%,9.1%,40.7%,14.8%
20028350,Humanities,Philosophy,University of Kentucky,Philosophy,0%,14.3%,3.3%,29.4%,8.8%
20050441,Humanities,Philosophy,University of Maryland College Park,Philosophy,0%,15%,6.7%,23.3%,30.2%
20048107,Humanities,Philosophy,University of Massachusetts Amherst,Philosophy,0%,23.5%,3.4%,20.5%,20.5%
20027937,Humanities,Philosophy,University of Memphis,Philosophy,6.7%,26.7%,47.6%,73.9%,8.7%
20050946,Humanities,Philosophy,University of Miami,Philosophy,9.1%,18.2%,13%,21.4%,17.9%
20035738,Humanities,Philosophy,University of Michigan-Ann Arbor,Philosophy,0%,5%,3.6%,34.3%,17.1%
20040189,Humanities,Philosophy,University of Minnesota-Twin Cities,Philosophy,0%,26.9%,10.5%,52.2%,15.2%
20025515,Humanities,Philosophy,University of Missouri - Columbia,Philosophy,0%,16.7%,9.4%,11.1%,5.6%
20017345,Humanities,Philosophy,University of Nebraska - Lincoln,Philosophy,0%,18.2%,4.3%,28%,0%
20045508,Humanities,Philosophy,University of North Carolina At Chapel Hill,Philosophy,4%,16%,11.4%,46.3%,12.2%
20051783,Humanities,Philosophy,University of Oklahoma Norman Campus,Philosophy,7.1%,28.6%,11.1%,10.5%,5.3%
20035987,Humanities,Philosophy,University of Notre Dame,Philosophy,0%,10.9%,6.1%,16.9%,11.9%
20043966,Humanities,Philosophy,University of Oregon,Philosophy,0%,40%,8%,55.2%,6.9%
20037053,Humanities,Philosophy,University of Pennsylvania,Philosophy,0%,37.5%,4.5%,37%,14.8%
20049724,Humanities,Philosophy,University of Pittsburgh Pittsburgh Campus,History and Philosophy of Science,0%,10%,0%,25.9%,37%
20049889,Humanities,Philosophy,University of Pittsburgh Pittsburgh Campus,Philosophy,0%,17.6%,5.3%,23%,37.7%
20069377,Humanities,Philosophy,University of Rochester,Philosophy,0%,20%,11.8%,20.8%,8.3%
20024930,Humanities,Philosophy,University of South Florida,Philosophy,15.4%,21.4%,9.8%,21.6%,0%
20067887,Humanities,Philosophy,University of South Carolina Columbia,Philosophy,0%,14.3%,12.5%,26.3%,15.8%
20068349,Humanities,Philosophy,University of Southern California,Philosophy,3.7%,15.8%,5.9%,16.1%,32.3%
20045964,Humanities,Philosophy,University of Tennessee,Philosophy,0%,30%,4.2%,19.2%,7.7%
20061786,Humanities,Philosophy,University of Texas At Austin,Philosophy,3.3%,6.7%,2.6%,24.5%,0%
20047768,Humanities,Philosophy,University of Utah,Philosophy,0%,38.9%,0%,29.2%,8.3%
20023326,Humanities,Philosophy,University of Virginia,Philosophy,7.1%,21.4%,3.4%,28.9%,23.7%
20059947,Humanities,Philosophy,University of Washington,Philosophy,0%,31.8%,4%,40%,6.7%
20030966,Humanities,Philosophy,University of Wisconsin-Madison,Philosophy,10.5%,15.8%,3.8%,27.4%,8.1%
20052096,Humanities,Philosophy,Vanderbilt University,Philosophy,15%,15%,6.4%,28.6%,3.6%
20069995,Humanities,Philosophy,Washington University In St. Louis,Philosophy,5.3%,21.1%,3.6%,38.2%,14.7%
20021629,Humanities,Philosophy,Wayne State University,Philosophy,0%,10%,6.7%,6.3%,6.3%
20063726,Humanities,Philosophy,Yale University,Philosophy,0%,28.6%,0%,37.5%,33.3%
20043416,Humanities,Religion,Baylor University,Religion,0%,10%,6.9%,13.6%,10.6%
20071352,Humanities,Religion,Boston College,Theology,9.1%,21.2%,4%,39.4%,19.1%
20071378,Humanities,Religion,Boston College,Religious Education and Pastoral Ministry,20%,60%,8.3%,42.9%,42.9%
20059361,Humanities,Religion,Boston University,Religious Studies,4%,33.3%,13.8%,37.8%,20.1%
20018483,Humanities,Religion,Brown University,Religious Studies,0%,35.7%,11.1%,42.9%,9.5%
20052164,Humanities,Religion,Catholic University of America,Biblical Studies,0%,0%,0%,17.9%,12.8%
20052180,Humanities,Religion,Catholic University of America,Church History,0%,28.6%,13.3%,47.1%,5.9%
20052216,Humanities,Religion,Catholic University of America,Historical and Systematic Theology,7.7%,13.3%,5%,9.3%,13%
20052232,Humanities,Religion,Catholic University of America,Liturgical Studies and Sacramental Theology,0%,37.5%,0%,10%,30%
20052339,Humanities,Religion,Catholic University of America,Religion and Culture,0%,22.2%,9.1%,40%,14.3%
20065355,Humanities,Religion,Catholic University of America,Spirituality,0%,0%,9.1%,61.5%,7.7%
20065368,Humanities,Religion,Catholic University of America,Moral Theology and Ethics,0%,16.7%,30%,7.1%,28.6%
20018069,Humanities,Religion,Claremont Graduate University,Religion,11.5%,38.7%,13.3%,40.3%,15.7%
20057868,Humanities,Religion,Columbia University In The City of New York,Religion,0%,20%,0%,45.2%,19%
20042705,Humanities,Religion,Drew University,Religion,25%,54.2%,14.4%,33.3%,32.3%
20030199,Humanities,Religion,Duke University,Religion,8.1%,20.5%,14.9%,40.2%,10.3%
20027429,Humanities,Religion,Florida State University,Religion,6.3%,29.4%,8.1%,39.5%,0%
20062015,Humanities,Religion,Emory University,Graduate Division of Religion,12.9%,30.3%,17.3%,55.2%,9.8%
20029511,Humanities,Religion,Fordham University,Theology,0%,28.6%,5.3%,37.3%,2%
20012078,Humanities,Religion,Graduate Theological Union,Theology and Religious Studies,8.5%,37.4%,8.4%,48.8%,23.7%
20066480,Humanities,Religion,Harvard University,The Study of Religion,10%,14.3%,9.4%,43.9%,16.7%
20022275,Humanities,Religion,Hebrew Union College-Jewish Institute of Religion,Bible and Cognate Studies,0%,11.1%,3.1%,18.3%,8.5%
20046633,Humanities,Religion,Indiana University At Bloomington,Religious Studies,5.6%,50%,4.8%,44%,8.3%
20036669,Humanities,Religion,Loyola University Chicago,Theology,0%,38.1%,9.5%,25.4%,16.9%
20032676,Humanities,Religion,Princeton University,Religion,17.6%,41.2%,12.5%,30.3%,21.2%
20040969,Humanities,Religion,Marquette University,Religious Studies,6.3%,18.5%,5.1%,27%,9.9%
20041230,Humanities,Religion,Rice University,Religious Studies,20%,20%,27.8%,25%,25%
20043322,Humanities,Religion,Southern Methodist University,Religious Studies,13.3%,25.8%,7.7%,24.1%,10.3%
20052850,Humanities,Religion,Stanford University,Religious Studies,0%,20%,25%,36.4%,27.3%
20070418,Humanities,Religion,University of California-Santa Barbara,Religious Studies,10.5%,40.9%,14.9%,48.6%,0%
20014319,Humanities,Religion,University of Chicago,Divinity,5.4%,33.3%,11.5%,36.6%,10.8%
20020620,Humanities,Religion,University of Iowa,Religious Studies,13.3%,18.8%,8%,37.8%,0%
20045553,Humanities,Religion,University of North Carolina At Chapel Hill,Religious Studies,0%,30.8%,0%,42.5%,2.5%
20036038,Humanities,Religion,University of Notre Dame,Theology,6%,19.2%,13.9%,35.7%,10.2%
20037095,Humanities,Religion,University of Pennsylvania,Religious Studies,5.9%,15.8%,10.5%,32%,4%
20023355,Humanities,Religion,University of Virginia,Religious Studies,3.7%,32.1%,3.4%,33.3%,10.8%
20052135,Humanities,Religion,Vanderbilt University,Religion,14.7%,30%,17.7%,46.2%,9%
20063768,Humanities,Religion,Yale University,Religious Studies,7.1%,23.3%,2.4%,28.1%,20.3%
20035107,Humanities,Spanish and Portuguese Language and Literature,Arizona State University,Spanish,57.1%,50%,80%,70.5%,40.9%
20042394,Humanities,Religion,Temple University,Religion,18.2%,36.4%,13.8%,33.3%,12.8%
20022686,Humanities,Religion,Syracuse University Main Campus,Religion,6.7%,40%,7.7%,47.5%,22.5%
20036216,Humanities,Spanish and Portuguese Language and Literature,Boston College,Spanish and Portuguese Language and Literature,33.3%,50%,50%,66.7%,33.3%
20059183,Humanities,Spanish and Portuguese Language and Literature,Boston University,Hispanic Language and Literature,37.5%,37.5%,85.7%,67.7%,58.1%
20018344,Humanities,Spanish and Portuguese Language and Literature,Brown University,Hispanic Studies,25%,50%,23.1%,72%,32%
20057224,Humanities,Spanish and Portuguese Language and Literature,City University of New York Grad. Center,Hispanic and Luso-Brazilian Literatures and Languages,76.5%,47.6%,90.2%,60.6%,27.7%
20057907,Humanities,Spanish and Portuguese Language and Literature,Columbia University In The City of New York,Spanish and Portuguese,50%,58.8%,15.4%,75.6%,31.7%
20065436,Humanities,Spanish and Portuguese Language and Literature,Cornell University,Romance Studies - Spanish,57.1%,50%,6.7%,42.3%,30.8%
20070515,Humanities,Spanish and Portuguese Language and Literature,Duke University,Romance Studies - Spanish,54.5%,58.3%,54.5%,50%,62.5%
20062154,Humanities,Spanish and Portuguese Language and Literature,Emory University,Spanish,44.4%,50%,45.5%,64.3%,18.5%
20034726,Humanities,Spanish and Portuguese Language and Literature,Florida International University,Spanish,88.9%,37.5%,92.9%,75%,7.1%
20027445,Humanities,Spanish and Portuguese Language and Literature,Florida State University,Spanish,27.3%,50%,38.9%,56%,28%
20023083,Humanities,Spanish and Portuguese Language and Literature,Georgetown University,Spanish,27.3%,50%,37.5%,64.8%,49.1%
20046675,Humanities,Spanish and Portuguese Language and Literature,Indiana University At Bloomington,Spanish,49.8%,54.2%,18.2%,43.3%,26.7%
20047234,Humanities,Spanish and Portuguese Language and Literature,Michigan State University,"Spanish Language, Literature and Culture",41.7%,53.8%,28.6%,52.9%,58.8%
20064592,Humanities,Spanish and Portuguese Language and Literature,New York University,Spanish and Portuguese,62.5%,61.1%,48.4%,56%,32%
20029362,Humanities,Spanish and Portuguese Language and Literature,Ohio State University Main Campus,Spanish and Portuguese,54.2%,33.3%,33.3%,60%,37.8%
20031787,Humanities,Spanish and Portuguese Language and Literature,Penn State University,Spanish,39.1%,60.9%,23.1%,61.2%,42.9%
20032702,Humanities,Spanish and Portuguese Language and Literature,Princeton University,Spanish and Portuguese Language and Literature,62.5%,30%,55.6%,54.5%,59.1%
20055873,Humanities,Spanish and Portuguese Language and Literature,Purdue University Main Campus,Foreign Languages & Literatures,42.9%,40%,28.6%,61.4%,56.8%
20012803,Humanities,Spanish and Portuguese Language and Literature,Rutgers The State University of New Jersey New Brunswick Campus,Spanish,40%,52.2%,66.7%,84.6%,46.2%
20052892,Humanities,Spanish and Portuguese Language and Literature,Stanford University,Spanish,50%,42.9%,75%,80%,40%
20033756,Humanities,Spanish and Portuguese Language and Literature,State University of New York At Albany,Spanish,62.5%,50%,62.5%,79.3%,10.3%
20038735,Humanities,Spanish and Portuguese Language and Literature,State University of New York At Buffalo,Spanish Language and Literature,61.5%,42.9%,37.5%,74.1%,33.3%
20038191,Humanities,Spanish and Portuguese Language and Literature,State University of New York At Stony Brook,Hispanic Languages and Literature,72.7%,36.4%,55.6%,61.1%,44.4%
20042417,Humanities,Spanish and Portuguese Language and Literature,Temple University,Spanish,75%,50%,41.2%,70.8%,20.8%
20071585,Humanities,Spanish and Portuguese Language and Literature,Texas Tech University,Spanish,44%,40%,61.9%,50%,22.2%
20066888,Humanities,Spanish and Portuguese Language and Literature,Tulane University,Spanish and Portuguese,7.7%,53.8%,53.3%,76.7%,43.3%
20034315,Humanities,Spanish and Portuguese Language and Literature,University of Arizona,Spanish,53.3%,37.5%,71.1%,58.5%,13.2%
20060965,Humanities,Spanish and Portuguese Language and Literature,University of California-Berkeley,Hispanic Languages and Literatures,38.9%,33.3%,44.8%,76.2%,26.2%
20067450,Humanities,Spanish and Portuguese Language and Literature,University of California-Davis,Spanish,46.2%,53.8%,50%,69.2%,48.7%
20049384,Humanities,Spanish and Portuguese Language and Literature,University of California-Irvine,Spanish,60%,31.3%,53.1%,54.1%,2.7%
20053383,Humanities,Spanish and Portuguese Language and Literature,University of California-Los Angeles,Hispanic Language and Literature,57.1%,38.1%,48.6%,84.8%,15.2%
20048851,Humanities,Spanish and Portuguese Language and Literature,University of California-Riverside,Hispanic Studies,16.7%,37.5%,50%,61.5%,0%
20070285,Humanities,Spanish and Portuguese Language and Literature,University of California-Santa Barbara,Hispanic Languages & Literatures,43.8%,35.3%,41.7%,68%,32%
