Program ID,Broad Field,Field,Institution Name,Program Name,Average Number of  PhDs Graduated (2002-2006),Percent of Interdisciplinary Faculty (2006),Average GRE Scores (2004-2006),"Percent of
First Year Students with External Fellowships (2005)",Is Student Work Space Provided?,Is Health Insurance Provided?,Number of Student Activities (Max=18)
20057952,Agricultural Sciences,Plant Sciences,Louisiana State University And Agricultural And Mechanical College,Agronomy,4.8,53.8%,642,0%,Yes,Yes,15
20058155,Agricultural Sciences,Plant Sciences,Louisiana State University And Agricultural And Mechanical College,Horticulture,1.2,50%,596,10.8%,Yes,Yes,15
20058236,Agricultural Sciences,Plant Sciences,Louisiana State University And Agricultural And Mechanical College,Plant Health,1.4,45.8%,646,0%,Yes,Yes,17
20046866,Agricultural Sciences,Plant Sciences,Michigan State University,Crop and Soil Sciences,5.4,54.3%,661,25%,Yes,Yes,18
20047014,Agricultural Sciences,Plant Sciences,Michigan State University,Horticulture,4,54.5%,648,0%,Yes,Yes,18
20047179,Agricultural Sciences,Plant Sciences,Michigan State University,Plant Biology,5.6,57.7%,667,12.5%,Yes,Yes,18
20047182,Agricultural Sciences,Plant Sciences,Michigan State University,Plant Breeding & Genetics,4.2,42.5%,622,0%,Yes,Yes,17
20047195,Agricultural Sciences,Plant Sciences,Michigan State University,Plant Pathology,1.2,53.6%,690,0%,Yes,Yes,17
20024370,Agricultural Sciences,Plant Sciences,Mississippi State University,Agronomy (degree: PhD in Agricultural Sciences),2.6,12%,661,0%,Yes,No,13
20024503,Agricultural Sciences,Plant Sciences,Mississippi State University,Horticulture (degree: PhD in Agricultural Sciences),1,9.5%,661,0%,Yes,No,13
20024590,Agricultural Sciences,Plant Sciences,Mississippi State University,Weed Science (degree: PhD in Agricultural Sciences),2,50%,661,0%,Yes,No,13
20060211,Agricultural Sciences,Plant Sciences,Montana State University - Bozeman,Plant Science,2.6,0%,674,0%,Yes,No,13
20041311,Agricultural Sciences,Plant Sciences,North Carolina State University,Botany,2.8,13.6%,661,0%,Yes,Yes,18
20062293,Agricultural Sciences,Plant Sciences,New Mexico State University Main Campus,Plant and Environmental Sciences,3.2,18.8%,661,33.3%,Yes,Yes,11
20041476,Agricultural Sciences,Plant Sciences,North Carolina State University,Horticultural Science,4.8,12.1%,627,20%,Yes,Yes,17
20041382,Agricultural Sciences,Plant Sciences,North Carolina State University,Crop Science,6,1.9%,647,0%,Yes,Yes,17
20041612,Agricultural Sciences,Plant Sciences,North Carolina State University,Plant Pathology,3.4,3.2%,593,0%,Yes,Yes,18
20026912,Agricultural Sciences,Plant Sciences,North Dakota State University Main Campus,Plant Pathology,1.6,15.4%,661,0%,Yes,No,13
20026925,Agricultural Sciences,Plant Sciences,North Dakota State University Main Campus,Plant Sciences,3.4,26.5%,661,33.3%,Yes,No,16
20029090,Agricultural Sciences,Plant Sciences,Ohio State University Main Campus,Horticulture and Crop Science,5.2,3.2%,702,0%,Yes,Yes,18
20029281,Agricultural Sciences,Plant Sciences,Ohio State University Main Campus,Plant Pathology,3.4,20%,690,0%,Yes,Yes,18
20041939,Agricultural Sciences,Plant Sciences,Oklahoma State University Main Campus,Crop Science,5.8,0%,661,76.5%,Yes,No,18
20013815,Agricultural Sciences,Plant Sciences,Ohio University Main Campus,Environmental and Plant Biology,3.2,0%,710,0%,Yes,No,14
20070612,Agricultural Sciences,Plant Sciences,Ohio State University Main Campus,Plant Cellular and Molecular Biology Program,1.8,41.2%,731,0%,Yes,Yes,18
20042080,Agricultural Sciences,Plant Sciences,Oklahoma State University Main Campus,Plant Pathology,2.8,10%,661,0%,Yes,No,13
20018548,Agricultural Sciences,Plant Sciences,Oregon State University,Botany and Plant Pathology,4.2,34.8%,684,0%,Yes,Yes,16
20018551,Agricultural Sciences,Plant Sciences,Oregon State University,Crop Science,2.4,39.4%,661,0%,Yes,Yes,14
20018645,Agricultural Sciences,Plant Sciences,Oregon State University,Horticulture,2,47.7%,681,33.3%,Yes,Yes,12
20063250,Agricultural Sciences,Plant Sciences,Oregon State University,Rangeland Ecology and Management,1.6,54.5%,661,0%,Yes,Yes,12
20031486,Agricultural Sciences,Plant Sciences,Penn State University,Horticulture,1.4,40.6%,643,33.3%,Yes,Yes,18
20031703,Agricultural Sciences,Plant Sciences,Penn State University,Plant Biology,4.8,36.2%,721,27.3%,Yes,Yes,18
20055608,Agricultural Sciences,Plant Sciences,Purdue University Main Campus,Agronomy- Crops & Genetic,3.4,68%,653,50%,Yes,Yes,18
20031716,Agricultural Sciences,Plant Sciences,Penn State University,Plant Pathology,3.8,54.5%,642,20%,Yes,Yes,18
20055695,Agricultural Sciences,Plant Sciences,Purdue University Main Campus,Botany & Plant Pathology,3,54.9%,722,0%,Yes,Yes,18
20055912,Agricultural Sciences,Plant Sciences,Purdue University Main Campus,Horticulture,4.8,61.5%,687,25%,Yes,Yes,18
20012764,Agricultural Sciences,Plant Sciences,Rutgers The State University of New Jersey New Brunswick Campus,Plant Biology,5,0%,677,12.5%,Yes,Yes,17
20040561,Agricultural Sciences,Plant Sciences,Southern Illinois University Carbondale,Plant Biology,4.2,28.6%,661,20%,Yes,No,15
20021755,Agricultural Sciences,Plant Sciences,Texas A & M University,Horticulture,2.6,18.2%,661,0%,Yes,Yes,16
20021768,Agricultural Sciences,Plant Sciences,Texas A & M University,Plant Pathology,4.8,0%,726,0%,Yes,Yes,13
20021797,Agricultural Sciences,Plant Sciences,Texas A & M University,Agronomy,2.6,0%,579,10.8%,Yes,Yes,0
20022262,Agricultural Sciences,Plant Sciences,Texas A & M University,Plant Breeding,4.2,0%,615,0%,Yes,Yes,0
20034250,Agricultural Sciences,Plant Sciences,University of Arizona,Plant Pathology,1.2,50%,586,0%,Yes,Yes,17
20034263,Agricultural Sciences,Plant Sciences,University of Arizona,Plant Science,3.2,40%,673,25%,Yes,Yes,17
20013747,Agricultural Sciences,Plant Sciences,University of Arkansas Main Campus,Plant Science,3,44.8%,611,0%,Yes,Yes,16
20061171,Agricultural Sciences,Plant Sciences,University of California-Berkeley,Plant Biology,6.6,6.9%,681,11.1%,Yes,Yes,18
20067382,Agricultural Sciences,Plant Sciences,University of California-Davis,Plant Biology,12.4,26.3%,680,0%,No,Yes,18
20067395,Agricultural Sciences,Plant Sciences,University of California-Davis,Plant Pathology,4.6,30%,693,0%,Yes,Yes,18
20048916,Agricultural Sciences,Plant Sciences,University of California-Riverside,Plant Biology,7,15.8%,734,12.5%,Yes,Yes,15
20024286,Agricultural Sciences,Plant Sciences,University of Connecticut,Plant Science PhD,1.6,30.8%,639,10.8%,Yes,Yes,15
20048929,Agricultural Sciences,Plant Sciences,University of California-Riverside,Plant Pathology,3.2,13%,693,66.7%,Yes,Yes,15
20012308,Agricultural Sciences,Plant Sciences,University of Delaware,Plant and Soil Sciences,4,15.2%,666,0%,Yes,Yes,18
20012913,Agricultural Sciences,Plant Sciences,University of Florida,Agronomy,3.6,22%,633,25%,Yes,Yes,18
20012968,Agricultural Sciences,Plant Sciences,University of Florida,Botany,2.4,25%,678,0%,Yes,Yes,15
20013190,Agricultural Sciences,Plant Sciences,University of Florida,Horticultural Science,5.8,2.1%,651,11.1%,Yes,Yes,18
20013417,Agricultural Sciences,Plant Sciences,University of Florida,Plant Molecular and Cellular Biology,4.4,0%,686,0%,No,Yes,18
20013420,Agricultural Sciences,Plant Sciences,University of Florida,Plant Pathology,3.8,19.4%,649,0%,Yes,Yes,15
20019550,Agricultural Sciences,Plant Sciences,University of Georgia,Agronomy,2.4,40.5%,716,7.7%,Yes,Yes,18
20019783,Agricultural Sciences,Plant Sciences,University of Georgia,Horticulture,2.2,50%,718,0%,Yes,Yes,18
20019916,Agricultural Sciences,Plant Sciences,University of Georgia,Plant Biology,6.6,70.2%,731,8.7%,Yes,Yes,18
20019929,Agricultural Sciences,Plant Sciences,University of Georgia,Plant Pathology,1.6,36.7%,683,50%,Yes,Yes,18
20014681,Agricultural Sciences,Plant Sciences,University of Hawaii At Manoa,Botany,2,13.3%,598,20%,Yes,Yes,15
20014953,Agricultural Sciences,Plant Sciences,University of Hawaii At Manoa,Tropical Plant & Soil Sciences,1.4,27.3%,597,0%,Yes,Yes,16
20067683,Agricultural Sciences,Plant Sciences,University of Idaho,Plant Science,2.6,27%,562,50%,No,Yes,15
20038832,Agricultural Sciences,Plant Sciences,University of Illinois At Urbana-Champaign,Biology-Physiological and Molecular Plant Biology,1.8,34.5%,680,0%,Yes,Yes,15
20038942,Agricultural Sciences,Plant Sciences,University of Illinois At Urbana-Champaign,Crop Sciences,7,37.3%,708,0%,Yes,Yes,12
20039190,Agricultural Sciences,Plant Sciences,University of Illinois At Urbana-Champaign,Natural Resources and Environmental Science,8.8,52.9%,678,50%,Yes,Yes,18
20039268,Agricultural Sciences,Plant Sciences,University of Illinois At Urbana-Champaign,Plant Biology,4,16%,673,0%,Yes,Yes,15
20028156,Agricultural Sciences,Plant Sciences,University of Kentucky,Crop Science,1.8,55.9%,601,0%,Yes,Yes,17
20028392,Agricultural Sciences,Plant Sciences,University of Kentucky,Plant Pathology,2.4,54.2%,627,0%,Yes,Yes,18
20028402,Agricultural Sciences,Plant Sciences,University of Kentucky,Plant Physiology,3.4,53.6%,642,0%,Yes,Yes,17
20050409,Agricultural Sciences,Plant Sciences,University of Maryland College Park,Natural Resource Sciences,3,25%,667,0%,Yes,Yes,16
20048123,Agricultural Sciences,Plant Sciences,University of Massachusetts Amherst,Plant Biology,1,6.7%,690,0%,Yes,Yes,16
20048136,Agricultural Sciences,Plant Sciences,University of Massachusetts Amherst,Plant and Soil Sciences,3.2,36.7%,634,0%,Yes,Yes,14
20039624,Agricultural Sciences,Plant Sciences,University of Minnesota-Twin Cities,Applied Plant Sciences,4.8,15.6%,663,10.8%,Yes,Yes,13
20040202,Agricultural Sciences,Plant Sciences,University of Minnesota-Twin Cities,Plant Biological Sciences,2.6,10.6%,706,0%,Yes,Yes,18
20040215,Agricultural Sciences,Plant Sciences,University of Minnesota-Twin Cities,Plant Pathology,2,21.7%,714,0%,Yes,Yes,17
20025544,Agricultural Sciences,Plant Sciences,University of Missouri - Columbia,"Plant, Insect and Microbial Sciences",4,0%,661,25%,Yes,Yes,17
20017125,Agricultural Sciences,Plant Sciences,University of Nebraska - Lincoln,Agronomy,7.4,48.7%,661,12.5%,Yes,Yes,16
20017138,Agricultural Sciences,Plant Sciences,University of Nebraska - Lincoln,Plant Systems Biology,1.6,45.2%,655,0%,Yes,Yes,16
20050700,Agricultural Sciences,Plant Sciences,University of New Hampshire,Plant Biology,2.2,31.6%,610,0%,Yes,Yes,13
20045980,Agricultural Sciences,Plant Sciences,University of Tennessee,"Plants, Soils, and Insects",2.6,13.6%,616,0%,Yes,Yes,9
20061809,Agricultural Sciences,Plant Sciences,University of Texas At Austin,Plant Biology,2.6,26.7%,691,10%,No,Yes,18
20030296,Agricultural Sciences,Plant Sciences,University of Wisconsin-Madison,Agronomy,1.4,50%,606,0%,Yes,Yes,17
20030403,Agricultural Sciences,Plant Sciences,University of Wisconsin-Madison,Botany,6,15%,733,0%,Yes,Yes,17
20030720,Agricultural Sciences,Plant Sciences,University of Wisconsin-Madison,Horticulture,2.2,30%,754,10.8%,Yes,Yes,16
20030995,Agricultural Sciences,Plant Sciences,University of Wisconsin-Madison,Plant Breeding and Plant Genetics,7.4,32.3%,626,10.8%,Yes,Yes,17
20031004,Agricultural Sciences,Plant Sciences,University of Wisconsin-Madison,Plant Pathology,3.2,0%,649,0%,No,Yes,16
20024723,Agricultural Sciences,Plant Sciences,University of Wyoming,Plant Science,1,15.4%,N/D,N/D,Yes,Yes,
20062743,Agricultural Sciences,Plant Sciences,Utah State University,Plant Science (AG),1.6,0%,690,0%,Yes,No,18
20044486,Agricultural Sciences,Plant Sciences,Virginia Polytechnic Institute And State University,Crop and Soil Environmental Sciences,2.8,45.8%,623,0%,Yes,Yes,16
20044606,Agricultural Sciences,Plant Sciences,Virginia Polytechnic Institute And State University,Horticulture,1.6,41.9%,661,0%,Yes,Yes,18
20044703,Agricultural Sciences,Plant Sciences,Virginia Polytechnic Institute And State University,"Plant Pathology, Physiology and Weed Science",2.2,40.5%,650,0%,Yes,Yes,17
20058333,Agricultural Sciences,Plant Sciences,Washington State University,Botany,3.8,32.6%,640,0%,Yes,Yes,18
20058388,Agricultural Sciences,Plant Sciences,Washington State University,Crop Science,1.2,33.3%,656,100%,Yes,Yes,18
20058498,Agricultural Sciences,Plant Sciences,Washington State University,Horticulture,2.4,33.3%,547,100%,Yes,Yes,18
20058537,Agricultural Sciences,Plant Sciences,Washington State University,Molecular Plant Sciences,3,27.3%,700,14.3%,Yes,Yes,18
20058566,Agricultural Sciences,Plant Sciences,Washington State University,Plant Pathology,2.6,54.8%,661,0%,Yes,Yes,18
20070010,Agricultural Sciences,Plant Sciences,Washington University In St. Louis,Plant Biology,3.4,66.7%,699,0%,Yes,Yes,18
20026433,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Baylor College of Medicine,Biochemistry and Molecular Biology,5.2,63.6%,790,57.1%,No,Yes,15
20026556,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Baylor College of Medicine,Structural & Computational Biology & Molecular Biophysics,2.8,50%,794,16.7%,Yes,Yes,15
20059031,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Boston University,"Biochemistry, Biophysics & Molecular Bio, Sch of Medicine",10.6,22.5%,698,6.7%,Yes,Yes,18
20059248,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Boston University,Molecular Bio/Cell Bio/Biochem-Grad Sch of Arts & Sci,2.6,44.7%,707,0%,Yes,Yes,16
20034755,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Bowling Green State University,Biological Sciences,6.8,30.8%,654,0%,No,No,18
20025007,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Brandeis University,Biochemistry,2.6,35.7%,726,0%,Yes,Yes,17
20032919,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",California Institute of Technology,Biochemistry and Molecular Biophysics,5.6,29.5%,784,10%,Yes,Yes,12
20025010,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Brandeis University,Biophysics and Structural Biology,2.4,42.1%,737,0%,Yes,Yes,17
20019055,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Case Western Reserve University,Biochemistry,5.2,43.5%,787,0%,No,No,18
20019204,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Case Western Reserve University,Molecular Biology and Microbiology,4.2,70.7%,656,100%,Yes,No,17
20057020,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",City University of New York Grad. Center,Biochemistry,7.6,7.8%,704,41.7%,Yes,No,18
20056254,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Colorado State University,Biochemistry,4.8,0%,644,0%,Yes,No,15
20057431,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Columbia University In The City of New York,Biochemistry and Molecular Biophysics,6.6,22.2%,761,0%,Yes,Yes,17
20015570,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Cornell University,"Biochemistry, Molecular & Cell Biology",9.8,3.8%,745,0%,Yes,Yes,17
20065449,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Cornell University,Weill Graduate School of Medical Sciences - Biochemistry & Structural Biology,2.8,0%,714,14.9%,No,Yes,14
20065481,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Cornell University,Weill Graduate School of Medical Sciences - Molecular Biology,4,0%,714,100%,No,Yes,14
20027144,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Drexel University,Molecular Pathobiology,1.2,3.3%,642,0%,Yes,No,17
20029838,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Duke University,Biochemistry,8.2,37.2%,739,0%,Yes,Yes,16
20019356,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",George Washington University,Biochemistry and Molecular Genetics,9.2,8%,678,0%,No,Yes,16
20022945,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Georgetown University,Biochemistry and Molecular Biology,2.8,22%,662,42.9%,Yes,Yes,16
20051424,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Georgia State University,Biology-Molecular Genetics & Biochemistry,4,52%,680,0%,Yes,Yes,9
20065876,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Harvard University,Biophysics,6.4,84.2%,800,100%,Yes,Yes,17
20066231,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Harvard University,Molecular and Cellular Biology,12.2,64.1%,785,72%,No,Yes,17
20025942,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Howard University,Biochemistry,1.6,33.3%,714,50%,Yes,No,17
20046701,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Indiana University At Bloomington,Vision Science,1,13.6%,748,50%,No,Yes,18
20048330,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Indiana University Purdue University Indianapolis,Biochemistry,3.8,50%,697,0%,Yes,Yes,17
20048398,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Indiana University Purdue University Indianapolis,Medical Biophysics,1,57.4%,635,0%,Yes,Yes,15
20016294,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Iowa State University,Biochemistry,3.8,6.7%,761,11.1%,Yes,Yes,17
20056474,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Johns Hopkins University,Biochemistry and Molecular Biology,5.42,0%,704,66.7%,Yes,Yes,17
20056487,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Johns Hopkins University,Biological Chemistry,6.4,0%,793,0%,Yes,Yes,17
